               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.076896,            0.044358,            0.059494,             0.49798,             0.39196,             0.40533,             0.19663,            0.052006,            0.023222,            0.035571,             0.07006,           0.0033267,           0.0033267
                   1,            0.055229,            0.037264,            0.032536,             0.56487,             0.57622,             0.57974,             0.29828,            0.047949,            0.023338,            0.021149,            0.039928,           0.0065281,           0.0065281
                   2,            0.054082,            0.037696,            0.024479,             0.53705,             0.54059,             0.53283,             0.25308,            0.050344,            0.024379,             0.01832,           0.0096641,           0.0095976,           0.0095976
                   3,            0.050383,            0.038821,            0.023549,             0.52079,             0.47664,             0.47798,             0.25851,            0.048436,            0.027375,            0.021212,            0.009406,            0.009406,            0.009406
                   4,             0.04826,            0.039891,            0.023245,             0.61337,             0.52092,             0.56274,             0.30198,            0.045075,             0.02678,            0.019454,            0.009406,            0.009406,            0.009406
                   5,            0.046753,            0.040933,            0.021486,             0.61187,             0.53052,             0.57831,             0.30391,            0.044611,            0.026451,            0.018567,            0.009208,            0.009208,            0.009208
                   6,            0.046175,            0.040475,             0.02031,             0.61258,             0.54176,             0.58863,             0.30756,            0.044725,            0.026444,            0.017669,             0.00901,             0.00901,             0.00901
                   7,            0.045327,             0.04044,              0.0198,             0.61412,             0.54448,             0.58682,             0.31532,            0.043893,            0.026698,            0.017139,            0.008812,            0.008812,            0.008812
                   8,            0.044441,            0.039924,            0.019235,             0.65515,             0.52641,             0.59174,             0.31673,            0.044499,             0.02759,             0.01757,            0.008614,            0.008614,            0.008614
                   9,            0.044478,            0.040237,            0.017967,             0.67319,             0.55172,             0.61211,             0.33662,            0.043372,            0.026664,            0.016464,            0.008416,            0.008416,            0.008416
                  10,            0.043379,            0.039722,             0.01779,             0.59538,              0.5702,             0.59709,             0.32984,            0.043209,            0.026691,            0.017114,            0.008218,            0.008218,            0.008218
                  11,            0.042873,            0.039515,            0.017596,             0.65009,             0.57003,             0.61487,              0.3431,            0.042122,             0.02644,            0.016705,             0.00802,             0.00802,             0.00802
                  12,            0.042404,            0.039468,             0.01619,             0.69309,             0.55843,             0.63317,             0.35188,            0.042737,             0.02635,            0.015371,            0.007822,            0.007822,            0.007822
                  13,            0.041824,            0.038564,            0.015768,             0.63932,             0.56933,             0.61444,             0.34515,              0.0422,            0.026291,            0.016747,            0.007624,            0.007624,            0.007624
                  14,            0.041127,            0.037563,            0.015659,             0.66121,              0.5959,              0.6447,             0.35946,            0.041946,            0.025885,            0.015524,            0.007426,            0.007426,            0.007426
                  15,            0.040855,            0.037647,            0.014751,             0.64429,             0.60044,             0.63625,             0.36385,            0.041305,            0.025781,            0.015174,            0.007228,            0.007228,            0.007228
                  16,            0.040125,            0.037086,            0.014399,             0.68708,             0.60257,             0.65719,             0.38661,            0.041424,             0.02642,            0.015079,             0.00703,             0.00703,             0.00703
                  17,            0.040445,            0.037591,            0.014077,             0.68272,             0.60955,             0.66494,             0.38695,            0.041098,            0.026048,            0.014458,            0.006832,            0.006832,            0.006832
                  18,            0.039745,            0.037424,            0.013485,             0.69888,             0.58912,             0.65839,             0.38252,            0.041029,            0.025825,             0.01395,            0.006634,            0.006634,            0.006634
                  19,            0.039457,            0.036979,            0.012578,             0.70067,             0.60702,             0.66561,             0.39458,            0.041398,            0.025556,            0.014029,            0.006436,            0.006436,            0.006436
